customerID,Churn,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_PaperlessBilling,account_Charges.Monthly,account_Charges.Total,Cuentas_Diarias,customer_gender_male,internet_InternetService_fiber optic,internet_InternetService_no,account_Contract_one year,account_Contract_two year,account_PaymentMethod_credit card (automatic),account_PaymentMethod_electronic check,account_PaymentMethod_mailed check
0002-ORFBO,False,0,1,1,9,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,65.6,593.3,2.1866666666666665,False,False,False,True,False,False,False,True
0003-MKNFE,False,0,0,0,9,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,59.9,542.4,1.9966666666666666,True,False,False,False,False,False,False,True
0004-TLHLJ,True,0,0,0,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,73.9,280.85,2.4633333333333334,True,True,False,False,False,False,True,False
0011-IGKFF,True,1,1,0,13,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,98.0,1237.85,3.2666666666666666,True,True,False,False,False,False,True,False
0013-EXCHZ,True,1,1,0,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,83.9,267.4,2.796666666666667,False,True,False,False,False,False,False,True
0013-MHZWF,False,0,0,1,9,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,69.4,571.45,2.3133333333333335,False,False,False,False,False,True,False,False
0013-SMEOE,False,1,1,0,71,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,109.7,7904.25,3.6566666666666667,False,True,False,False,True,False,False,False
0014-BMAQU,False,0,1,0,63,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,84.65,5377.8,2.8216666666666668,True,True,False,False,True,True,False,False
0015-UOCOJ,False,1,0,0,7,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,48.2,340.35,1.6066666666666667,False,False,False,False,False,False,True,False
0016-QLJIS,False,0,1,1,65,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,90.45,5957.9,3.015,False,False,False,False,True,False,False,True
0017-DINOC,False,0,0,0,54,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,45.2,2460.55,1.5066666666666668,True,False,False,False,True,True,False,False
0017-IUDMW,False,0,1,1,72,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,116.8,8456.75,3.893333333333333,False,True,False,False,True,True,False,False
0018-NYROU,False,0,1,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,68.95,351.5,2.2983333333333333,False,True,False,False,False,False,True,False
0019-EFAEP,False,0,0,0,72,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,101.3,7261.25,3.3766666666666665,False,True,False,False,True,False,False,False
0019-GFNTW,False,0,0,0,56,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,45.05,2560.1,1.5016666666666665,False,False,False,False,True,False,False,False
0020-INWCK,False,0,1,1,71,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,95.75,6849.4,3.191666666666667,False,True,False,False,True,True,False,False
0020-JDNXP,False,0,1,1,34,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,61.25,1993.2,2.0416666666666665,False,False,False,True,False,False,False,True
0021-IKXGC,False,1,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,72.1,72.1,2.4033333333333333,False,True,False,False,False,False,True,False
0022-TCJCI,True,1,0,0,45,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,62.7,2791.5,2.0900000000000003,True,False,False,True,False,True,False,False
0023-HGHWL,True,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.1,25.1,0.8366666666666667,True,False,False,False,False,False,True,False
0023-UYUPN,False,1,1,0,50,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.2,1306.3,0.84,False,False,True,True,False,False,True,False
0023-XUOPT,True,0,1,0,13,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,94.1,1215.6,3.1366666666666663,False,True,False,False,False,False,True,False
0027-KWYKW,False,0,1,1,23,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,83.75,1849.95,2.7916666666666665,False,True,False,False,False,False,True,False
0030-FNXPP,False,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.85,57.2,0.6616666666666667,False,False,True,False,False,False,False,True
0031-PVLZI,True,0,1,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.35,76.35,0.6783333333333333,False,False,True,False,False,False,False,True
0032-PGELS,True,0,1,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,30.5,30.5,1.0166666666666666,False,False,False,False,False,False,False,False
0036-IHMOT,False,0,1,1,55,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,103.7,5656.75,3.4566666666666666,False,True,False,True,False,False,False,False
0040-HALCW,False,0,1,1,54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.4,1090.6,0.6799999999999999,True,False,True,False,True,True,False,False
0042-JVWOJ,False,0,0,0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.6,471.85,0.6533333333333334,True,False,True,True,False,False,False,False
0042-RLHYP,False,0,1,1,69,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.7,1396.9,0.6566666666666666,False,False,True,False,True,False,False,False
0047-ZHDTW,True,0,0,0,11,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,79.0,929.3,2.6333333333333333,False,True,False,False,False,False,False,False
0048-LUMLS,False,0,1,1,37,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,91.2,3247.55,3.04,True,True,False,True,False,True,False,False
0048-PIHNL,False,0,1,0,49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.45,900.9,0.6816666666666666,False,False,True,True,False,False,False,False
0052-DCKON,False,0,1,0,66,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,115.8,7942.15,3.86,True,True,False,True,False,False,False,False
0052-YNYOT,False,0,0,0,67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.55,1343.4,0.685,False,False,True,True,False,False,True,False
0056-EPFBG,False,0,1,1,20,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,39.4,825.4,1.3133333333333332,True,False,False,False,True,True,False,False
0057-QBUQH,False,0,0,1,43,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.1,1070.15,0.8366666666666667,False,False,True,False,True,False,True,False
0058-EVZWM,False,0,1,0,55,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,89.8,4959.6,2.993333333333333,False,True,False,False,False,False,False,False
0060-FUALY,False,0,1,0,59,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,94.75,5597.65,3.158333333333333,False,True,False,False,False,False,True,False
0064-SUDOG,False,0,1,1,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.3,224.5,0.6766666666666666,False,False,True,False,True,False,False,False
0064-YIJGF,False,0,1,1,27,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,75.75,1929.0,2.525,True,True,False,False,False,False,False,False
0067-DKWBL,True,1,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,49.25,91.1,1.6416666666666666,True,False,False,False,False,False,True,False
0068-FIGTF,False,0,0,0,27,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,78.2,2078.95,2.606666666666667,False,False,False,True,False,False,False,True
0071-NDAFP,False,0,1,1,25,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.5,630.6,0.85,True,False,True,False,True,True,False,False
0074-HDKDG,False,0,1,1,25,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,61.6,1611.0,2.0533333333333332,True,False,False,True,False,False,False,False
0076-LVEPS,False,0,0,1,29,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,45.0,1242.45,1.5,True,False,False,False,False,False,False,True
0078-XZMHT,False,0,1,0,72,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,85.15,6316.2,2.8383333333333334,True,False,False,False,True,False,False,False
0080-EMYVY,False,0,0,0,14,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,51.45,727.85,1.715,False,False,False,True,False,True,False,False
0080-OROZO,False,0,0,0,35,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,99.25,3532.0,3.308333333333333,False,True,False,True,False,False,True,False
0082-LDZUE,False,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44.3,44.3,1.4766666666666666,True,False,False,False,False,False,False,True
0082-OQIQY,False,0,0,0,29,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,94.2,2607.6,3.14,True,True,False,False,False,False,True,False
0083-PIVIK,False,0,0,0,64,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,81.25,5567.55,2.7083333333333335,True,False,False,True,False,False,True,False
0089-IIQKO,False,0,1,1,39,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,99.95,3767.4,3.3316666666666666,False,True,False,False,False,True,False,False
0093-EXYQL,False,1,0,0,40,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,91.55,3673.6,3.0516666666666667,False,True,False,False,False,False,True,False
0093-XWZFY,True,0,0,0,40,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,104.5,4036.85,3.4833333333333334,True,True,False,False,False,True,False,False
0094-OIFMO,True,1,0,0,11,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,95.0,1120.3,3.1666666666666665,False,True,False,False,False,False,True,False
0096-BXERS,False,0,1,0,6,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.35,314.55,1.6783333333333335,False,False,False,False,False,False,True,False
0096-FCPUF,False,0,0,0,30,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,64.5,1888.45,2.15,True,False,False,False,False,False,False,True
0098-BOWSO,False,0,0,0,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.4,529.8,0.6466666666666666,True,False,True,False,False,False,True,False
0100-DUVFC,False,1,1,0,70,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,104.8,7308.95,3.493333333333333,True,True,False,True,False,False,True,False
0103-CSITQ,False,0,1,0,57,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,109.4,6252.7,3.646666666666667,False,True,False,True,False,False,False,False
0104-PPXDV,False,0,1,0,58,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,50.3,2878.55,1.6766666666666665,True,False,False,True,False,True,False,False
0106-GHRQR,False,0,0,0,16,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,71.4,1212.1,2.3800000000000003,True,False,False,False,False,False,False,False
0106-UGRDO,False,0,1,0,69,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,116.0,8182.85,3.8666666666666667,False,True,False,False,True,False,True,False
0107-WESLM,True,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.85,19.85,0.6616666666666667,True,False,True,False,False,False,True,False
0107-YHINA,True,0,0,1,1,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1,99.75,99.75,3.325,True,True,False,False,False,False,True,False
0111-KLBQG,False,1,1,1,32,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,93.95,2861.45,3.131666666666667,True,True,False,False,False,False,False,True
0112-QAWRZ,False,0,1,1,16,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,90.8,1442.2,3.0266666666666664,True,True,False,False,False,False,False,False
0112-QWPNC,True,0,1,0,49,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,84.35,4059.35,2.8116666666666665,True,False,False,True,False,False,True,False
0114-IGABW,False,0,1,0,71,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,58.25,4145.9,1.9416666666666667,False,False,False,False,True,False,False,False
0114-PEGZZ,False,0,0,0,33,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,107.55,3645.5,3.585,False,True,False,False,False,False,True,False
0114-RSRRW,False,0,1,0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.95,187.75,0.6649999999999999,False,False,True,False,False,False,False,False
0115-TFERT,True,0,1,0,21,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,111.2,2317.1,3.7066666666666666,True,True,False,False,False,False,True,False
0117-LFRMW,True,0,1,1,37,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,40.2,1448.8,1.34,True,False,False,False,False,False,False,False
0118-JPNOY,False,1,0,0,26,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,85.8,2193.65,2.86,False,True,False,False,False,True,False,False
0120-YZLQA,True,0,0,0,71,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.9,1355.1,0.6633333333333333,True,False,True,False,True,True,False,False
0121-SNYRK,False,0,0,0,50,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,35.4,1748.9,1.18,True,False,False,True,False,False,False,True
